Marca;Modelo;CantidadPuertos;TipoPuertos;Uplink;Image;PoE;TipoPoE;MultiGbps;CantidadPuertosMultiGbps;Stackeable;Layer3
Cisco;2960X-48LPS-L***;48;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
Cisco;2960X-48FPS-L***;48;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
Cisco;2960S-48TS-L*;24;GigabitEthernet;1Gbps;SD;FALSE;NA;SD;SD;TRUE;SD
Cisco;2960X-48TS-L***;24;GigabitEthernet;1Gbps;SD;FALSE;NA;SD;SD;TRUE;SD
Cisco;2960S-24PD-L*;24;GigabitEthernet;10Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
Cisco;2960X-24PD-L***;24;GigabitEthernet;10Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
Cisco;2960S-24TD-L*;24;GigabitEthernet;10Gbps;SD;FALSE;NA;SD;SD;TRUE;SD
Cisco;2960X-24TD-L***;24;GigabitEthernet;10Gbps;SD;FALSE;NA;SD;SD;TRUE;SD
Cisco;2960S-48LPD-L*;48;GigabitEthernet;10Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
Cisco;2960S-48FPD-L*;48;GigabitEthernet;10Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
Cisco;2960X-48LPD-L***;48;GigabitEthernet;10Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
Cisco;2960X-48FPD-L***;48;GigabitEthernet;10Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
Cisco;2960S-48TD-L*;48;GigabitEthernet;10Gbps;SD;FALSE;NA;SD;SD;TRUE;SD
Cisco;2960X-48TD-L***;48;GigabitEthernet;10Gbps;SD;FALSE;NA;SD;SD;TRUE;SD
HP;JE008A;24;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;FALSE;SD
HP;JE007A;24;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;FALSE;SD
HP;JE006A;24;GigabitEthernet;1Gbps;SD;FALSE;NA;SD;SD;FALSE;SD
HP;JE009A;48;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;FALSE;SD
HP;JE074A**;24;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
HP;JG091A**;24;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
HP;JE066A**;24;GigabitEthernet;1Gbps;SD;FALSE;NA;SD;SD;TRUE;SD
HP;JE067A**;48;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
HP;JE072A**;24;GigabitEthernet;1Gbps;SD;FALSE;NA;SD;SD;TRUE;SD
HP;JG236A**;24;GigabitEthernet;10Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
HP;JE068A**;24;GigabitEthernet;10Gbps;SD;FALSE;NA;SD;SD;TRUE;SD
HP;JG237A**;48;GigabitEthernet;10Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
HP;JE069A**;48;GigabitEthernet;10Gbps;SD;FALSE;NA;SD;SD;TRUE;SD
